abs,brand,compression_ratio,coupe_type,cylinder_bore,doors,fuel_consumption_combined,fuel_tank_volume,fuel_type,generation,kerb_weight,minimum_turning_circle,model,modification,number_of_cylinders,number_of_gears,number_of_valves_per_cylinder,piston_stroke,position_of_cylinders,power,seats,torque,wheelbase
yes,Jaguar,8.9,Coupe,86 mm.,2,12.6 l/100 km.,75 l,Petrol (Gasoline),XK 8 Coupe (QEV),1715 kg.,NULL,XK 8,XKR 4.0 i V8 32V (363 Hp),8,5,4,86 mm.,V engine,363 hp/6150 rpm.,2+2,505 Nm/3600 rpm.,2588 mm.
yes,Jaguar,9.1,Cabriolet,86 mm.,2,12.5 l/100 km.,75 l,Petrol (Gasoline),XK 8 Convertible (QDV),1815 kg.,NULL,XK 8,4.2 i V8  32V Type R (395 Hp),8,6,4,90.3 mm.,V engine,395 hp/6100 rpm.,2+2,541 Nm/5500 rpm.,2588 mm.
yes,Jaguar,8.9,Cabriolet,86 mm.,2,12.7 l/100 km.,75 l,Petrol (Gasoline),XK 8 Convertible (QDV),1825 kg.,NULL,XK 8,XKR 4.0 i V8 32V (363 Hp),8,5,4,86 mm.,V engine,363 hp/6150 rpm.,2+2,505 Nm/3600 rpm.,2588 mm.
yes,Infiniti,NULL,Coupe,86 mm.,2,NULL,NULL,Hybrid - petrol / electricity,Project Black S Prototype,1776 kg.,NULL,Project Black S,3.0 V6 (571 Hp) Hybrid Automatic,6,7,4,86 mm.,V engine,571 hp,2,NULL,NULL
yes,Hyundai,10.5,MPV,77 mm.,5,NULL,50 l,Petrol (Gasoline),ix20 (facelift 2015),1178 kg.,10.42 m,ix20,1.4 (90 Hp),4,5,4,74.99 mm.,Inline,90 hp/6000 rpm.,5,137 Nm/5000 rpm.,2615 mm.
yes,Hyundai,16,MPV,77.2 mm.,5,4.4 l/100 km.,50 l,Diesel,ix20 (facelift 2015),1810 kg.,10.42 m,ix20,1.6 (116 Hp),4,6,4,84.5 mm.,Inline,116 hp/4000 rpm.,5,260 Nm/1500-2750 rpm.,2615 mm.
yes,Hyundai,10.5,MPV,77 mm.,5,NULL,50 l,Petrol (Gasoline),ix20 (facelift 2015),1180 kg.,10.42 m,ix20,1.6 (125 Hp),4,6,4,85.44 mm.,Inline,125 hp/6300 rpm.,5,156 Nm/4200 rpm.,2615 mm.
yes,Hyundai,10.5,MPV,77 mm.,5,NULL,50 l,Petrol (Gasoline),ix20 (facelift 2015),1222 kg.,10.42 m,ix20,1.6 (125 Hp) Automatic,4,6,4,85.44 mm.,Inline,125 hp/6300 rpm.,5,156 Nm/4200 rpm.,2615 mm.
yes,Hyundai,16,MPV,77.2 mm.,5,NULL,50 l,Diesel,ix20 (facelift 2015),1281 kg.,10.42 m,ix20,1.6 (128 Hp),4,6,4,84.5 mm.,Inline,128 hp/4000 rpm.,5,260 Nm/1500-3000 rpm.,2615 mm.
yes,Hyundai,NULL,Sedan,NULL,4,6.8 l/100 km.,70 l,Diesel,Grandeur/Azera VI (IG),1675 kg.,NULL,Grandeur/Azera,2.2 CRDi (202 Hp) Shiftronic,4,8 Shiftronic,4,NULL,Inline,202 hp/3800 rpm.,5,440 Nm/1750-2750 rpm.,2845 mm.
yes,Hyundai,11.3,Sedan,NULL,4,8.9 l/100 km.,70 l,Petrol (Gasoline),Grandeur/Azera VI (IG),1550 kg.,NULL,Grandeur/Azera,2.4 GDi (190 Hp) Automatic,4,6,4,NULL,Inline,190 hp/6000 rpm.,5,240 Nm/4000 rpm.,2845 mm.
yes,Hyundai,NULL,Sedan,NULL,4,9.9 l/100 km.,70 l,Petrol (Gasoline),Grandeur/Azera VI (IG),1630 kg.,NULL,Grandeur/Azera,3.0 GDi V6 (266 Hp) Shiftronic,6,8 Shiftronic,4,NULL,V engine,266 hp/6400 rpm.,5,310 Nm/5300 rpm.,2845 mm.
yes,Hyundai,11.5,Sedan,NULL,4,10.3 l/100 km.,70 l,Petrol (Gasoline),Grandeur/Azera VI (IG),1680 kg.,NULL,Grandeur/Azera,3.3 GDi V6 (290 Hp) Shiftronic,6,8 Shiftronic,4,NULL,V engine,290 hp/6400 rpm.,5,342 Nm/5200 rpm.,2845 mm.
NULL,Volvo,NULL,Sedan,NULL,4,NULL,NULL,Petrol (Gasoline),S70,NULL,NULL,S70,2.5 Bifuel (144 Hp),NULL,NULL,NULL,NULL,NULL,144 hp,5,NULL,NULL
yes,Volvo,20.5,Sedan,81 mm.,4,6.6 l/100 km.,70 l,Diesel,S70,1510 kg.,NULL,S70,2.5 TDI (140 Hp),5,5,2,95.5 mm.,Inline,140 hp/4000 rpm.,5,290 Nm/1900 rpm.,2660 mm.
