abs_,airbag_driver,airbag_passenger,airbag_side,alloy_wheels,central_locking,chassis_warranty,cylinder_capacity,fuel,fuel_tank,general_warranty,maintenance,max_power,max_torque,name,no_of_cylinders,no_of_seats,parking_sensors,price,reverse_camera,top_speed,transmission,wheelbase
1,1,1,1,1,1,,1368,petrol,45,,,132 kW (180 hp),270,Abarth Punto Evo 1.4 T-Jet 16v SuperSport,4,4,1,24.947,0,220,manual,2510 mm
1,1,1,1,1,1,,1368,petrol,35,,,132 kW (180 hp),250,Abarth 595 Cabrio 1.4 T-Jet 180 Competizione,4,4,1,37.030,0,225,semi-automaat,2300 mm
1,1,1,1,1,1,,1368,petrol,45,,,114 kW (155 hp),201,Abarth Grande Punto 1.4 T-Jet 16v,4,4,1,21.990,0,208,manual,2510 mm
1,1,1,1,1,1,,5935,petrol,80,,,365 kW (497 hp),570,Aston Martin Virage Volante,12,4,1,295.174,0,299,sequential automatic,2740 mm
1,1,1,1,1,1,,1368,petrol,45,,,121 kW (165 hp),250,Abarth Punto Evo 1.4 T-Jet 16v,4,4,1,24.545,0,213,manual,2510 mm
1,0,0,0,1,1,,3562,petrol,80,,,184 kW (250 hp),340,Audi V8 Lang,8,5,0,129.990,0,235,automaat,3019 mm
1,0,0,0,1,1,,4172,petrol,80,,,206 kW (280 hp),400,Audi V8 Lang,8,5,0,147.474,0,249,automaat,3019 mm
0,0,0,0,1,1,,5341,petrol,113,,,243 kW (330 hp),475,Aston Martin Virage,8,4,0,289.807,0,250,manual,2611 mm
1,1,1,1,1,1,,5935,petrol,80,,,365 kW (497 hp),570,Aston Martin Virage,12,4,1,278.785,0,299,sequential automatic,2740 mm
1,0,0,0,1,1,,4172,petrol,80,,,206 kW (280 hp),400,Audi V8,8,5,0,96.651,0,249,manual,2702 mm
1,0,0,0,1,1,,4172,petrol,80,,,206 kW (280 hp),400,Audi V8,8,5,0,96.651,0,249,automaat,2702 mm
0,0,0,0,1,1,,5341,petrol,95,,,243 kW (330 hp),465,Aston Martin Volante,8,4,0,286.630,0,235,manual,2611 mm
1,1,1,0,1,1,,2959,petrol,70,,,162 kW (220 hp),270,Alfa Romeo GTV 3.0 V6 24V L,6,5,0,41.294,0,240,manual,2540 mm
0,0,0,0,0,0,,1490,petrol,,,,70 kW (95 hp),130,Alfa Romeo Alfasud Sprint 1.5,4,4,0,11.340,0,175,manual,2455 mm
1,1,1,0,1,1,,2959,petrol,70,,,162 kW (220 hp),270,Alfa Romeo GTV 3.0 V6 24V,6,5,0,38.798,0,240,manual,2540 mm
1,1,1,0,1,1,,1970,petrol,70,,,110 kW (150 hp),181,Alfa Romeo GTV 2.0 T.Spark 16V,4,4,0,35.995,0,215,manual,2540 mm
1,0,0,0,1,1,,3562,petrol,80,,,184 kW (250 hp),340,Audi V8,8,5,0,84.013,0,235,automaat,2702 mm
1,0,0,0,1,0,,1712,petrol,50,,,87 kW (118 hp),147,Alfa Romeo Sprint 1.7,4,4,0,16.268,0,196,manual,2465 mm
1,1,1,0,1,1,,2959,petrol,70,,,160 kW (218 hp),265,Alfa Romeo GTV 3.0 V6 24V L,6,4,0,45.350,0,238,manual,2540 mm
1,1,1,0,1,1,,1996,petrol,70,,,147 kW (200 hp),271,Alfa Romeo GTV 2.0 V6 TB,6,5,0,35.735,0,235,manual,2540 mm
1,1,1,0,1,1,,1970,petrol,70,,,110 kW (150 hp),181,Alfa Romeo GTV 2.0 T.Spark 16V Elegante,4,4,0,38.250,0,215,manual,2540 mm
1,1,1,0,1,1,,2959,petrol,70,,,160 kW (218 hp),265,Alfa Romeo GTV 3.0 V6 24V Sportivo,6,4,0,47.110,0,238,manual,2540 mm
1,1,1,0,1,1,,1970,petrol,70,,,110 kW (150 hp),181,Alfa Romeo GTV 2.0 T.Spark 16V L,4,4,0,37.390,0,215,manual,2540 mm
1,1,1,0,1,1,,2959,petrol,70,,,160 kW (218 hp),265,Alfa Romeo GTV 3.0 V6 24V L,6,4,0,45.350,0,238,manual,2540 mm
1,1,1,0,1,1,,1970,petrol,70,,,110 kW (150 hp),181,Alfa Romeo GTV 2.0 T.Spark 16V,4,4,0,37.390,0,215,manual,2540 mm
1,1,1,0,1,1,,1970,petrol,70,,,110 kW (150 hp),181,Alfa Romeo GTV 2.0 T.Spark 16V Sportivo,4,4,0,39.150,0,215,manual,2540 mm
