abs_,airbag_driver,airbag_passenger,airbag_side,alloy_wheels,central_locking,chassis_warranty,cylinder_capacity,fuel,fuel_tank,general_warranty,maintenance,max_power,max_torque,name,no_of_cylinders,no_of_seats,parking_sensors,price,reverse_camera,top_speed,transmission,wheelbase
1,1,1,1,1,1,,1368,petrol,35,,,103 kW (140 hp),206,Abarth 500 1.4 16v T-Jet Custom 140,4,4,0,21.410,0,205,manual,2300 mm
1,1,1,1,1,1,,1368,petrol,35,,,99 kW (135 hp),206,Abarth 500 1.4 16v T-Jet Elaborabile 135,4,4,1,24.295,0,205,manual,2300 mm
1,1,1,1,1,1,,1560,diesel,50,,,88 kW (120 hp),285,DS 3 Cabrio BlueHDi 120 Sport Chic,4,5,1,29.590,0,190,manual,2464 mm
1,1,1,1,1,1,,1560,diesel,55,,,80 kW (109 hp),240,Ford C-MAX 1.6 TDCi 109hp Trend,4,5,0,27.416,0,185,manual,2640 mm
1,1,1,1,1,1,,1997,diesel,55,,,100 kW (136 hp),320,Ford C-MAX 2.0 TDCi Trend,4,5,0,30.886,0,200,manual,2640 mm
1,1,1,0,1,1,,3980,petrol,86,,,166 kW (226 hp),377,Daimler 4.0,6,5,0,92.798,0,222,automatic,2870 mm
0,0,0,0,0,0,,602,petrol,25,,,21 kW (29 hp),38,Citroen 2CV 6 Special,2,5,0,5.241,0,115,manual,2400 mm
1,1,1,1,1,1,,1560,diesel,50,,,88 kW (120 hp),285,DS 3 Cabrio BlueHDi 120 Sport Chic,4,5,1,33.990,0,190,manual,2464 mm
1,1,1,1,1,1,,1560,diesel,50,,,75 kW (102 hp),254,DS 3 Cabrio BlueHDi 100 So Chic,4,5,1,24.940,0,182,manual,2464 mm
1,1,1,1,1,1,,1199,petrol,50,,,60 kW (82 hp),118,DS 3 Cabrio PureTech 82 So Chic,3,5,1,22.190,0,172,manual,2464 mm
1,1,1,0,0,1,,1968,diesel,51,,,103 kW (140 hp),310,Dodge Caliber 2.0 CRD S,4,5,0,24.835,0,196,manual,2635 mm
1,1,1,1,1,1,,1499,petrol,55,,,110 kW (150 hp),240,Ford C-MAX 1.5 EcoBoost 150hp Titanium,4,5,1,29.995,1,204,manual,2648 mm
1,1,1,1,0,1,,1998,petrol,51,,,115 kW (156 hp),190,Dodge Caliber 2.0 Sport,4,5,0,19.670,0,190,manual,2635 mm
1,1,1,1,1,1,,2359,petrol,51,,,217 kW (295 hp),363,Dodge Caliber SRT4,4,5,0,39.265,0,243,manual,2635 mm
1,1,1,1,1,1,,1368,petrol,35,,,103 kW (140 hp),206,Abarth 500 1.4 16v T-Jet Elaborabile 140,4,4,1,25.910,0,205,semi-automatic,2300 mm
0,0,0,0,0,0,,652,petrol,21,,,18 kW (24 hp),41,Fiat 126 Personal,2,4,0,3.781,0,105,manual,1840 mm
1,1,1,1,1,1,,1998,petrol,51,,,115 kW (156 hp),190,Dodge Caliber 2.0 SXT,4,5,0,25.990,0,190,manual,2635 mm
1,1,1,1,1,1,,2359,petrol,51,,,125 kW (170 hp),220,Dodge Caliber 2.4 SXT,4,5,0,27.960,0,192,manual,2635 mm
1,1,1,1,0,1,,1998,petrol,51,,,115 kW (156 hp),190,Dodge Caliber 2.0 SE,4,5,0,22.990,0,190,manual,2635 mm
1,1,1,1,0,1,,1998,petrol,51,,,115 kW (156 hp),190,Dodge Caliber 2.0 Base,4,5,0,19.990,0,190,manual,2635 mm
1,1,1,1,1,1,,2143,diesel,51,,,120 kW (163 hp),320,Dodge Caliber 2.1 CRD SXT,4,5,0,30.790,0,198,manual,2635 mm
1,1,1,1,0,1,,1998,petrol,51,,,115 kW (156 hp),190,Dodge Caliber 2.0 Raw,4,5,0,16.790,0,190,manual,2635 mm
1,1,1,1,0,1,,1798,petrol,51,,,110 kW (150 hp),168,Dodge Caliber 1.8 SE,4,5,0,23.077,0,184,manual,2635 mm
1,1,1,1,1,1,,1798,petrol,51,,,110 kW (150 hp),168,Dodge Caliber 1.8 SXT,4,5,0,26.513,0,184,manual,2635 mm
1,1,1,0,0,1,,1798,petrol,51,,,110 kW (150 hp),168,Dodge Caliber 1.8 S,4,5,0,19.231,0,184,manual,2635 mm
1,1,1,1,0,1,,2143,diesel,51,,,120 kW (163 hp),320,Dodge Caliber 2.1 CRD SE,4,5,0,28.990,0,198,manual,2635 mm
1,1,1,1,0,1,,1968,diesel,51,,,103 kW (140 hp),310,Dodge Caliber 2.0 CRD SE,4,5,0,29.360,0,196,manual,2635 mm
1,1,1,1,1,1,,1968,diesel,51,,,103 kW (140 hp),310,Dodge Caliber 2.0 CRD SXT,4,5,0,31.386,0,196,manual,2635 mm
1,1,1,1,1,1,,1199,petrol,50,,,81 kW (110 hp),205,DS 3 Cabrio PureTech 110 So Chic,3,5,1,23.890,0,190,manual,2464 mm
1,1,1,1,1,1,,1199,petrol,50,,,96 kW (130 hp),230,DS 3 Cabrio PureTech 130 Sport Chic,3,5,1,28.990,0,202,manual,2464 mm
1,1,1,1,1,1,,1598,petrol,50,,,153 kW (208 hp),300,DS 3 Cabrio THP 208 Performance Black Special,4,5,1,36.590,1,230,manual,2464 mm
1,1,1,1,1,1,,1199,petrol,50,,,81 kW (110 hp),205,DS 3 Cabrio PureTech 110 Sport Chic,3,5,1,29.590,0,190,manual,2464 mm
1,1,1,1,1,1,,1199,petrol,50,,,81 kW (110 hp),205,DS 3 Cabrio PureTech 110 So Chic,3,5,1,25.690,0,189,sequential automatic,2464 mm
1,1,1,1,1,1,,1598,petrol,50,,,153 kW (208 hp),300,DS 3 Cabrio THP 208 Performance,4,5,1,34.090,0,230,manual,2464 mm
0,0,0,0,0,0,,602,petrol,25,,,21 kW (29 hp),38,Citroen 2CV 6 Club,2,5,0,5.704,0,115,manual,2400 mm
1,1,1,1,1,1,,1560,diesel,50,,,75 kW (102 hp),254,DS 3 Cabrio BlueHDi 100 So Chic,4,5,1,25.090,0,182,manual,2464 mm
1,1,1,1,1,1,,1598,petrol,50,,,120 kW (163 hp),240,DS 3 Cabrio THP 165 Sport Chic,4,5,1,30.490,0,217,manual,2464 mm
0,0,0,0,0,0,,602,petrol,25,,,21 kW (29 hp),38,Citroen 2CV 6 Charleston,2,5,0,5.990,0,115,manual,2400 mm
1,1,1,1,1,1,,1368,petrol,45,,,103 kW (140 hp),240,Fiat 124 Spider 1.4 MultiAir 16v,4,2,0,35.165,0,215,manual,2310 mm
1,1,1,1,1,1,,999,petrol,55,,,74 kW (100 hp),170,Ford C-MAX 1.0 EcoBoost 100hp Ambiente,3,5,1,21.995,1,174,manual,2648 mm
1,1,1,1,1,1,,1499,diesel,53,,,70 kW (95 hp),270,Ford C-MAX 1.5 TDCI 95hp Trend Lease Edition,4,5,1,27.095,1,170,manual,2648 mm
1,1,1,1,1,1,,999,petrol,55,,,92 kW (125 hp),170,Ford C-MAX 1.0 EcoBoost 125hp Titanium,3,5,1,27.695,1,187,manual,2648 mm
1,1,1,1,1,1,,1997,diesel,55,,,100 kW (136 hp),320,Ford C-MAX 2.0 TDCi Titanium,4,5,0,36.029,0,192,sequential automatic,2640 mm
1,1,1,1,1,1,,1499,diesel,53,,,88 kW (120 hp),270,Ford C-MAX 1.5 TDCI 120hp Titanium Lease Edition,4,5,1,30.595,1,184,manual,2648 mm
1,1,1,1,1,1,,1199,petrol,50,,,60 kW (82 hp),118,DS 3 Cabrio PureTech 82 Chic,3,5,1,20.790,0,172,manual,2464 mm
1,1,1,1,1,1,,999,petrol,55,,,92 kW (125 hp),170,Ford C-MAX 1.0 EcoBoost 125hp Trend,3,5,1,25.195,1,187,manual,2648 mm
1,1,1,1,1,1,,1499,petrol,55,,,110 kW (150 hp),240,Ford C-MAX 1.5 EcoBoost 150hp Titanium,4,5,1,32.495,1,200,sequential automatic,2648 mm
1,1,1,1,1,1,,1499,diesel,53,,,88 kW (120 hp),270,Ford C-MAX 1.5 TDCI 120hp Titanium,4,5,1,30.995,1,184,manual,2648 mm
1,1,1,1,1,1,,1499,petrol,55,,,134 kW (182 hp),240,Ford C-MAX 1.5 EcoBoost 182hp Titanium Edition,4,5,1,34.495,1,213,sequential automatic,2648 mm
1,1,1,1,1,1,,1997,diesel,55,,,100 kW (136 hp),320,Ford C-MAX 2.0 TDCi Ghia,4,5,0,36.029,0,192,sequential automatic,2640 mm
1,1,1,1,1,1,,1499,diesel,53,,,70 kW (95 hp),270,Ford C-MAX 1.5 TDCI 95hp Trend,4,5,1,26.995,1,170,manual,2648 mm
1,1,1,1,1,1,,1997,diesel,55,,,100 kW (136 hp),320,Ford C-MAX 2.0 TDCi Trend,4,5,0,34.529,0,192,sequential automatic,2640 mm
1,1,1,1,1,1,,1999,natural gas,55,,,91 kW (123 hp),160,Ford C-MAX 2.0 16V CNG Trend,4,5,0,33.221,0,201,manual,2640 mm
1,1,1,1,1,1,,1997,diesel,60,,,110 kW (150 hp),370,Ford C-MAX 2.0 TDCI 150hp Titanium,4,5,1,32.995,1,204,manual,2648 mm
1,1,1,1,1,1,,1798,petrol,55,,,92 kW (125 hp),165,Ford C-MAX 1.8 16V Limited,4,5,1,23.880,0,195,manual,2640 mm
1,1,1,1,1,1,,1999,LPG,53,,,103 kW (140 hp),185,Ford C-MAX 2.0 16V LPG Titanium,4,5,0,29.337,0,198,manual,2640 mm
1,1,1,1,1,1,,1999,LPG,53,,,103 kW (140 hp),185,Ford C-MAX 2.0 16V LPG Trend,4,5,0,27.837,0,198,manual,2640 mm
1,1,1,1,1,1,,1999,LPG,53,,,103 kW (140 hp),185,Ford C-MAX 2.0 16V LPG Ghia,4,5,0,29.337,0,198,manual,2640 mm
1,1,1,1,1,1,,1999,natural gas,55,,,91 kW (123 hp),160,Ford C-MAX 2.0 16V CNG Titanium,4,5,0,34.721,0,201,manual,2640 mm
1,1,1,1,1,1,,6059,petrol,71,,,310 kW (425 hp),570,Chrysler 300C Touring HEMI 6.1 V8 SRT8,8,5,1,109.990,0,265,sequential automatic,3048 mm
1,1,1,1,1,1,,1997,diesel,60,,,110 kW (150 hp),370,Ford C-MAX 2.0 TDCI 150hp Titanium,4,5,1,35.495,1,202,sequential automatic,2648 mm
1,1,1,1,1,1,,5654,petrol,71,,,250 kW (340 hp),525,Chrysler 300C Touring HEMI 5.7 V8 AWD,8,5,1,90.500,0,250,sequential automatic,3048 mm
1,1,1,1,1,1,,2987,diesel,68,,,160 kW (218 hp),510,Chrysler 300C Touring 3.0 CRD Signature Series,6,5,1,61.522,0,227,sequential automatic,3048 mm
1,1,1,1,1,1,,2987,diesel,68,,,160 kW (218 hp),510,Chrysler 300C Touring 3.0 CRD,6,5,1,64.997,0,227,sequential automatic,3048 mm
1,1,1,1,1,1,,2736,petrol,68,,,142 kW (193 hp),257,Chrysler 300C Touring 2.7 V6,6,5,1,55.586,0,209,automatic,3048 mm
1,1,1,1,1,1,,5654,petrol,71,,,250 kW (340 hp),525,Chrysler 300C Touring HEMI 5.7 V8,8,5,1,86.100,0,250,sequential automatic,3048 mm
1,1,1,1,1,1,,1560,diesel,55,,,80 kW (109 hp),240,Ford C-MAX 1.6 TDCi 109hp Limited,4,5,1,27.130,0,185,manual,2640 mm
1,1,1,1,1,1,,3518,petrol,68,,,186 kW (253 hp),340,Chrysler 300C Touring 3.5 V6,6,5,1,61.339,0,219,automatic,3048 mm
1,1,1,1,1,1,,3518,petrol,71,,,186 kW (253 hp),340,Chrysler 300C Touring 3.5 V6 AWD,6,5,1,65.429,0,219,sequential automatic,3048 mm
1,1,1,1,1,1,,1999,natural gas,55,,,91 kW (123 hp),160,Ford C-MAX 2.0 16V CNG Ghia,4,5,0,34.721,0,201,manual,2640 mm
1,1,1,1,1,1,,1798,petrol,55,,,92 kW (125 hp),165,Ford C-MAX 1.8 16V Ghia,4,5,0,26.756,0,195,manual,2640 mm
